unique_id,time_interval,units_fulfilled,incoming_demand,variable,value,delay
34.0,8.0,0.0,50205.26680779794,1,0.0,7.0
34.0,9.0,0.0,46021.49457381479,1,0.0,8.0
34.0,10.0,0.0,35562.06398885688,1,0.0,9.0
34.0,11.0,0.0,33470.17787186529,1,0.0,10.0
34.0,12.0,0.0,33470.17787186529,1,0.0,11.0
35.0,1.0,20000.0,20918.86116991581,1,20000.0,0.0
35.0,2.0,15000.0,23010.747286907394,1,0.0,1.0
35.0,3.0,24250.0,25102.63340389897,1,0.0,2.0
35.0,4.0,37000.0,41837.72233983162,1,0.0,3.0
35.0,5.0,26500.0,46021.49457381479,1,0.0,4.0
35.0,6.0,14250.0,62756.58350974743,1,0.0,5.0
35.0,7.0,0.0,66940.35574373059,1,0.0,6.0
35.0,8.0,0.0,50205.26680779794,1,0.0,7.0
35.0,9.0,0.0,46021.49457381479,1,0.0,8.0
35.0,10.0,0.0,35562.06398885688,1,0.0,9.0
35.0,11.0,0.0,33470.17787186529,1,0.0,10.0
35.0,12.0,0.0,33470.17787186529,1,0.0,11.0
36.0,1.0,20000.0,20918.86116991581,1,20000.0,0.0
36.0,2.0,15000.0,23010.747286907394,1,0.0,1.0
36.0,3.0,24250.0,25102.63340389897,1,0.0,2.0
36.0,4.0,37000.0,41837.72233983162,1,0.0,3.0
36.0,5.0,43833.33333333333,46021.49457381479,1,0.0,4.0
36.0,6.0,24583.333333333332,62756.58350974743,1,0.0,5.0
36.0,7.0,0.0,66940.35574373059,1,0.0,6.0
36.0,8.0,0.0,50205.26680779794,1,0.0,7.0
36.0,9.0,0.0,46021.49457381479,1,0.0,8.0
36.0,10.0,0.0,35562.06398885688,1,0.0,9.0
36.0,11.0,0.0,33470.17787186529,1,0.0,10.0
36.0,12.0,0.0,33470.17787186529,1,0.0,11.0
37.0,1.0,20000.0,20918.86116991581,1,20000.0,0.0
37.0,2.0,15000.0,23010.747286907394,1,0.0,1.0
37.0,3.0,24250.0,25102.63340389897,1,0.0,2.0
37.0,4.0,37000.0,41837.72233983162,1,0.0,3.0
37.0,5.0,47500.0,46021.49457381479,1,0.0,4.0
37.0,6.0,38000.0,62756.58350974743,1,0.0,5.0
37.0,7.0,14583.33333333333,66940.35574373059,1,0.0,6.0
37.0,8.0,0.0,50205.26680779794,1,0.0,7.0
37.0,9.0,0.0,46021.49457381479,1,0.0,8.0
37.0,10.0,0.0,35562.06398885688,1,0.0,9.0
37.0,11.0,0.0,33470.17787186529,1,0.0,10.0
