,item_type,supplier,time_interval,units_to_order,expected_units_recieved
728,8,8,9,0,0
729,8,8,10,0,0
730,8,9,1,0,0
731,8,9,2,0,0
732,8,9,3,0,0
733,8,9,4,0,0
734,8,9,5,0,0
735,8,9,6,0,0
736,8,9,7,0,0
737,8,9,8,0,0
738,8,9,9,0,0
739,8,9,10,0,0
740,8,10,1,0,0
741,8,10,2,0,0
742,8,10,3,0,0
743,8,10,4,0,0
744,8,10,5,0,0
745,8,10,6,0,0
746,8,10,7,0,0
747,8,10,8,0,0
748,8,10,9,0,0
749,8,10,10,0,0
750,8,12,1,0,0
751,8,12,2,0,0
752,8,12,3,0,0
753,8,12,4,0,0
754,8,12,5,0,0
755,8,12,6,0,0
756,8,12,7,0,0
757,8,12,8,0,0
758,8,12,9,0,0
759,8,12,10,0,0
760,8,15,1,2700,0
761,8,15,2,2700,2700
762,8,15,3,2700,2700
763,8,15,4,2700,2700
764,8,15,5,2700,2700
765,8,15,6,2700,2700
766,8,15,7,2700,2700
767,8,15,8,2700,2700
768,8,15,9,0,2700
769,8,15,10,0,0
770,8,17,1,0,0
771,8,17,2,0,0
772,8,17,3,0,0
773,8,17,4,0,0
774,8,17,5,0,0
775,8,17,6,0,0
776,8,17,7,0,0
777,8,17,8,0,0
778,8,17,9,0,0
779,8,17,10,0,0
780,9,1,1,0,0
781,9,1,2,0,0
782,9,1,3,0,0
783,9,1,4,0,0
784,9,1,5,0,0
785,9,1,6,0,0
786,9,1,7,0,0
787,9,1,8,0,0
788,9,1,9,0,0
789,9,1,10,0,0
790,9,2,1,0,0
791,9,2,2,0,0
792,9,2,3,0,0
793,9,2,4,0,0
794,9,2,5,0,0
795,9,2,6,0,0
796,9,2,7,0,0
797,9,2,8,0,0
798,9,2,9,0,0
799,9,2,10,0,0
800,9,3,1,0,0
801,9,3,2,0,0
802,9,3,3,0,0
803,9,3,4,0,0
804,9,3,5,0,0
805,9,3,6,0,0
806,9,3,7,0,0
807,9,3,8,0,0
808,9,3,9,0,0
809,9,3,10,0,0
810,9,4,1,0,0
811,9,4,2,0,0
812,9,4,3,0,0
813,9,4,4,0,0
814,9,4,5,0,0
815,9,4,6,0,0
816,9,4,7,0,0
817,9,4,8,0,0
818,9,4,9,0,0
819,9,4,10,0,0
820,9,5,1,0,0
821,9,5,2,0,0
822,9,5,3,0,0
823,9,5,4,0,0
824,9,5,5,0,0
825,9,5,6,0,0
826,9,5,7,0,0
827,9,5,8,0,0
828,9,5,9,0,0
829,9,5,10,0,0
830,9,6,1,0,0
831,9,6,2,0,0
832,9,6,3,0,0
833,9,6,4,0,0
834,9,6,5,0,0
835,9,6,6,0,0
836,9,6,7,0,0
837,9,6,8,0,0
838,9,6,9,0,0
839,9,6,10,0,0
840,9,7,1,0,0
841,9,7,2,0,0
842,9,7,3,0,0
843,9,7,4,0,0
844,9,7,5,0,0
845,9,7,6,0,0
846,9,7,7,0,0
847,9,7,8,0,0
848,9,7,9,0,0
849,9,7,10,0,0
850,9,8,1,0,0
851,9,8,2,0,0
852,9,8,3,0,0
853,9,8,4,0,0
854,9,8,5,0,0
855,9,8,6,0,0
856,9,8,7,0,0
857,9,8,8,0,0
858,9,8,9,0,0
859,9,8,10,0,0
860,9,9,1,0,0
861,9,9,2,0,0
862,9,9,3,0,0
863,9,9,4,0,0
864,9,9,5,0,0
865,9,9,6,0,0
866,9,9,7,0,0
867,9,9,8,0,0
868,9,9,9,0,0
869,9,9,10,0,0
870,9,10,1,0,0
871,9,10,2,0,0
872,9,10,3,0,0
873,9,10,4,0,0
874,9,10,5,0,0
875,9,10,6,0,0
876,9,10,7,0,0
877,9,10,8,0,0
878,9,10,9,0,0
879,9,10,10,0,0
880,9,12,1,0,0
881,9,12,2,0,0
882,9,12,3,0,0
883,9,12,4,0,0
884,9,12,5,0,0
885,9,12,6,0,0
886,9,12,7,0,0
887,9,12,8,0,0
888,9,12,9,0,0
889,9,12,10,0,0
890,9,15,1,0,0
891,9,15,2,0,0
892,9,15,3,0,0
893,9,15,4,0,0
894,9,15,5,0,0
895,9,15,6,0,0
896,9,15,7,0,0
897,9,15,8,0,0
898,9,15,9,0,0
899,9,15,10,0,0
900,9,17,1,688,0
901,9,17,2,688,0
902,9,17,3,688,688
903,9,17,4,688,688
904,9,17,5,688,688
905,9,17,6,688,688
906,9,17,7,688,688
907,9,17,8,0,688
908,9,17,9,0,688
909,9,17,10,0,0
